CaseId,CaseName,SchemeId,ScriptDllName,PARA_FILE_NAME,CATALOGUE
90,频段管理-频段3-3,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq3To3,Script_FreqManage_SetFreq3To3,频段管理
91,频段管理-档案相关切换,1,SgHplcTestScript.dll::Script_FreqManage_RecordSwitching,Script_FreqManage_RecordSwitching,频段管理
92,初始化,1,SgHplcTestScript.dll::Script_InitializeTest,Script_InitializeTest,初始化
93,初始化-不组网,1,SgHplcTestScript.dll::Script_InitializeTest_NotBuildNet,Script_InitializeTest_NotBuildNet,初始化
94,初始化-抄表,1,SgHplcTestScript.dll::Script_InitializeTest_ReadMeter,Script_InitializeTest_ReadMeter,初始化
95,初始化-搜表,1,SgHplcTestScript.dll::Script_InitializeTest_SearchMeter,Script_InitializeTest_SearchMeter,初始化
96,硬件初始化-抄表,2,SgHplcTestScript.dll::Script_CcoHardWareInit_ReadMeter,Script_CcoHardWareInit_ReadMeter,初始化
97,硬件初始化-搜表,2,SgHplcTestScript.dll::Script_CcoHardWareInit_SearchMeter,Script_CcoHardWareInit_SearchMeter,初始化
98,硬件初始化-在线升级sta,2,SgHplcTestScript.dll::Script_CcoHardWareInit_StaUpdate,Script_CcoHardWareInit_StaUpdate,初始化
99,参数初始化-抄表,2,SgHplcTestScript.dll::Script_CcoParaInit_ReadMeter,Script_CcoParaInit_ReadMeter,初始化
100,参数初始化-搜表,2,SgHplcTestScript.dll::Script_CcoParaInit_SearchMeter,Script_CcoParaInit_SearchMeter,初始化
101,参数初始化-组网完成,2,SgHplcTestScript.dll::Script_CcoParaInit_NetworkingFinish,Script_CcoParaInit_NetworkingFinish,初始化
102,参数初始化-路由升级,2,SgHplcTestScript.dll::Script_CcoParaInit_RouteUpgrade,Script_CcoParaInit_RouteUpgrade,初始化
103,参数初始化-在线升级sta,2,SgHplcTestScript.dll::Script_CcoParaInit_StaUpdate,Script_CcoParaInit_StaUpdate,初始化
104,主节点地址,1,SgHplcTestScript.dll::Script_CCO_AddrManage_normal,Script_CCO_AddrManage_normal,主节点地址管理
105,CCO主节点设置-长度异常,1,SgHplcTestScript.dll::Script_CCOAddrManage_LengthAbnormal,Script_CCOAddrManage_LengthAbnormal,主节点地址管理
107,档案管理-路由复位,1,SgHplcTestScript.dll::Script_ParameterManage_HardReset,Script_ParameterManage_HardReset,档案管理
108,档案管理-有档案路由复位,1,SgHplcTestScript.dll::Script_ParameterManage_HardResetHaveParameter,Script_ParameterManage_HardResetHaveParameter,档案管理
